DATE,GOLDAMGBD228NLBM
12/31/2019,1523
01.02.2020,1520.55
01.03.2020,1547.4
01.06.2020,1576.85
01.07.2020,1566.5
01.08.2020,1582.85
01.09.2020,1547.85
01.10.2020,1548.8
1/13/2020,1550.35
1/14/2020,1544.95
1/15/2020,1551.9
1/16/2020,1555.2
1/17/2020,1556.5
1/20/2020,1559.25
1/21/2020,1556.25
1/22/2020,1558.1
1/23/2020,1554.05
1/24/2020,1561.85
1/27/2020,1583.45
1/28/2020,1579.6
1/29/2020,1571.2
1/30/2020,1580.4
1/31/2020,1580.85
02.03.2020,1578.85
02.04.2020,1571.2
02.05.2020,1552.2
02.06.2020,1564.75
02.10.2020,1574.05
02.11.2020,1567.7
02.12.2020,1566.75
2/13/2020,1575
2/14/2020,1576.35
2/17/2020,1580.3
2/18/2020,1588.2
2/19/2020,1609.5
2/20/2020,1610.35
2/21/2020,1633.7
2/24/2020,1682.35
2/25/2020,1655.9
2/26/2020,1647.95
2/27/2020,1646.6
2/28/2020,1626.35
03.02.2020,1609.7
03.03.2020,1599.05
03.04.2020,1644.8
03.05.2020,1647.45
03.06.2020,1687
03.09.2020,1676.6
03.10.2020,1657.4
03.11.2020,1662.5
03.12.2020,1636.65
3/13/2020,1588.15
3/16/2020,1504.65
3/17/2020,1472.35
3/18/2020,1506
3/19/2020,1480.7
3/20/2020,1504.45
3/23/2020,1494.5
3/24/2020,1599.5
3/25/2020,1620.95
3/26/2020,1620.1
3/27/2020,1621.2
3/30/2020,1624.45
3/31/2020,1604.65
04.01.2020,1594.25
04.02.2020,1588.05
04.03.2020,1609.75
04.06.2020,1636.6
04.07.2020,1652.2
04.08.2020,1649.05
04.09.2020,1662.5
4/14/2020,1715.85
4/15/2020,1712.25
4/16/2020,1717.85
4/17/2020,1693.15
4/20/2020,1684.95
4/21/2020,1678.6
4/22/2020,1702.65
4/23/2020,1727.55
4/24/2020,1727.25
4/27/2020,1717.25
4/28/2020,1708.1
4/29/2020,1706
4/30/2020,1716.75
05.01.2020,1673.05
05.04.2020,1703.7
05.05.2020,1696.3
05.06.2020,1698.9
05.07.2020,1688.65
05.11.2020,1698.8
05.12.2020,1703.45
5/13/2020,1699.85
5/14/2020,1716.4
5/15/2020,1734.85
5/18/2020,1756.9
5/19/2020,1735.25
5/20/2020,1750.05
5/21/2020,1732.8
5/22/2020,1732.45
5/26/2020,1722.75
5/27/2020,1705.15
5/28/2020,1723.3
5/29/2020,1725.65
06.01.2020,1734.8
06.02.2020,1740.25
06.03.2020,1717.6
06.04.2020,1706.45
06.05.2020,1709.55
06.08.2020,1692
06.09.2020,1707.5
06.10.2020,1717.65
06.11.2020,1731.9
06.12.2020,1735.85
6/15/2020,1710.4
6/16/2020,1728.35
6/17/2020,1717.3
6/18/2020,1732.65
6/19/2020,1728.55
6/22/2020,1745.45
6/23/2020,1756.6
6/24/2020,1775.7
6/25/2020,1758.55
6/26/2020,1762.1
6/29/2020,1768.8
6/30/2020,1770.7
07.01.2020,1787.4
07.02.2020,1771.85
07.03.2020,1774.65
07.06.2020,1774.4
07.07.2020,1775.5
07.08.2020,1799.35
07.09.2020,1812.45
07.10.2020,1805.75
7/13/2020,1808.05
7/14/2020,1798.2
7/15/2020,1809.3
7/16/2020,1804.6
7/17/2020,1802.9
7/20/2020,1810.3
7/21/2020,1823.2
7/22/2020,1851
7/23/2020,1882.35
7/24/2020,1893.85
7/27/2020,1940.55
7/28/2020,1931.65
7/29/2020,1954.35
